car_id,car_model,car_make,city,car_time,cost,promo
1,Focus,Ford,Ōmihachiman,1646342546000,74.555,138.4
2,164,Alfa Romeoz,San José de los Remates,1659663165000,12.256,172.1
3,Sierra 3500,GMC,Goge,1640908289000,85.19,177.2
4,S40,Volvo,San Criztóbal Totonicapán,1665067082000,70.67,197.5
5,Avanti,Studebakerz,Vila Fria,1655179972000,87.769,136.7
6,V70,Volvo,Galyugayevskayaz,1664969112000,14.406,128.8
7,Edge,Ford,Tebluruz,1644417375000,36.752,120.3
8,I,Infiniti,Gon’baz,1661520539000,89.285,187.7
9,Jetta,Volkswagen,Nerópolis,1645925011000,25.497,143.5
10,Challenger,Mitsubishi,Balas,1648683529000,37.031,151.4
11,Corsica,Chevrolet,Moinhos,1645701012000,24.822,130.2
12,Rodeo,Isuzu,Bamusso,1656616384000,97.564,144.2
13,Montana,Pontiac,Tari,1663250159000,35.727,161.9
14,Titan,Nissan,San José,1652568495000,22.702,142.7
15,RAV4,Toyota,Turija,1642657148000,30.798,198.5
16,Land Cruiser,Toyota,Saint Cloud,1652846208000,95.175,153.9
17,ES,Lexus,Rubiataba,1641825999000,94.465,153.9
18,LeSabre,Buick,Matanzas,1652820461000,32.973,165.5
19,Quest,Nissan,Yangcun,1660129022000,59.278,157.7
20,Breeze,Plymouth,Monroe,1645568049000,5.999,150.6
21,G6,Pontiac,Tabu,1659234129000,90.949,167.8
22,Continental GTC,Bentley,Zhanlong,1659307365000,11.869,175.6
23,Loyale,Subaru,Novokhovrino,1645050692000,80.218,159.9
24,FR-S,Scion,Wattala,1643475778000,33.505,198.3
25,Accord,Honda,Sandayong Sur,1636874578000,59.68,177.6
26,Camry,Toyota,Kasaoka,1667357256000,90.781,152.3
27,Miata MX-5,Mazda,Ribeiro,1640314355000,44.788,176.3
28,Stratus,Dodge,Hedong,1654237650000,53.937,182.0
29,Pajero,Mitsubishi,Castlerea,1642065719000,31.878,115.3
30,Sienna,Toyota,Villa Florida,1642373084000,27.132,160.3
31,tC,Scion,Venda Nova,1649126561000,45.259,114.3
32,Explorer Sport Trac,Ford,Binonga,1640110730000,23.939,188.4
33,Colorado,Chevrolet,La Esperanza,1653082668000,8.949,129.7
34,Taurus,Ford,Rättvik,1662566150000,22.891,165.4
35,Econoline E150,Ford,Ponta Grossa,1662853544000,61.027,122.5
36,Roadmaster,Buick,Sang-e Chārak,1657722357000,50.0,175.2
37,Viper,Dodge,Cajueiro,1653444388000,9.2,136.7
38,Hombre,Isuzu,Campo Mourão,1660763537000,92.233,197.0
39,4Runner,Toyota,Duba,1658197974000,53.55,141.5
40,914,Porsche,Bayt Ūlā,1663946050000,9.739,128.4
41,Galant,Mitsubishi,Mvuma,1653210135000,76.391,132.9
42,612 Scaglietti,Ferrari,Vallenar,1639144908000,56.487,180.5
43,Prelude,Honda,Tuanlin,1661104991000,82.092,135.4
44,Sequoia,Toyota,Knoxville,1648318521000,32.454,126.6
45,G-Series 2500,Chevrolet,Zhaizigou,1654360415000,3.537,177.3
46,Somerset,Buick,Lagoa Vermelha,1636876846000,87.368,116.7
47,RAV4,Toyota,Haishan,1644029204000,3.116,165.6
48,RAV4,Toyota,Honolulu,1648849696000,25.061,190.1
49,Century,Buick,Kuantan,1642473604000,47.655,185.5
50,Cabriolet,Audi,Gurung,1653620672000,3.73,163.3
51,9000,Saab,Navashino,1656807092000,54.565,171.4
52,Ram 3500,Dodge,Évry,1663429213000,34.775,168.8
53,XJ,Jaguar,Lewoeleng,1667371150000,45.134,181.1
54,Caravan,Dodge,Itajaí,1636995976000,16.794,176.7
55,Galant,Mitsubishi,Lincheng,1637894968000,11.563,129.5
56,Mustang,Ford,Padre Bernardo,1651620120000,54.528,168.9
57,S2000,Honda,Pokrovka,1655658195000,27.782,182.2
58,Galant,Mitsubishi,Zákupy,1660565655000,23.988,115.4
59,Probe,Ford,Tha Ruea,1639316243000,21.362,136.0
60,Mazdaspeed 3,Mazda,Igir-igir,1664710349000,93.823,181.7
61,V50,Volvo,Aţ Ţaybah,1663151455000,81.299,179.0
62,Celica,Toyota,Ballivor,1640812385000,28.594,198.3
63,Passport,Honda,Banho e Carvalhosa,1664121928000,82.265,194.8
64,Protege5,Mazda,Larangan,1658294751000,55.873,180.0
65,Concorde,Chrysler,Zamora,1665352348000,63.131,148.5
66,2500,GMC,Tierp,1640957224000,22.816,148.5
67,Dakota,Dodge,Krugersdorp,1656074591000,49.521,148.4
68,Sunbird,Pontiac,Batroûn,1653536699000,91.173,136.7
69,Country,Ford,Starychi,1640491433000,42.833,182.1
70,90,Audi,Cotia,1663641271000,77.824,195.5
71,Thunderbird,Ford,Chapayevka,1641040192000,16.896,197.9
72,Econoline E150,Ford,Huruta,1648214157000,48.555,144.2
73,Dakota Club,Dodge,Al Maḩallah al Kubrá,1666544847000,98.097,170.3
74,Avenger,Dodge,Xinfeng,1642933380000,28.417,161.0
75,Accord,Honda,Candelaria,1661676142000,85.998,125.1
76,Celica,Toyota,Urambo,1663188253000,28.192,175.6
77,B-Series,Mazda,Mölndal,1643355329000,42.099,187.9
78,R8,Audi,Neyagawa,1654146044000,75.77,185.5
79,Caravan,Dodge,Tianning,1664038885000,74.586,154.3
80,Blazer,Chevrolet,Nicoya,1650431819000,22.882,183.9
81,3 Series,BMW,Quinta de Valadares,1648147705000,43.773,189.7
82,X6,BMW,Panórama,1662338892000,9.796,112.3
83,80/90,Audi,San Pedro de Lloc,1659835132000,21.967,129.7
84,Ram 2500 Club,Dodge,Sutton,1663859062000,22.379,139.1
85,Land Cruiser,Toyota,Richmond,1651957546000,41.957,182.5
86,Vision,Eagle,Vërtop,1650577932000,63.4,196.8
87,Xterra,Nissan,Moravská Třebová,1656063763000,19.396,170.8
88,Roadrunner,Plymouth,Mwinilunga,1645236782000,93.697,110.3
89,Explorer,Ford,Shamboyacu,1638060480000,94.548,128.2
90,CLS-Class,Mercedes-Benz,Potrerillos,1638439377000,30.01,193.9
91,Fiero,Pontiac,Cerrito,1657464611000,37.156,124.4
92,Intrepid,Dodge,Matiompong,1648103427000,42.76,191.7
93,SVX,Subaru,Towa,1661405728000,57.28,117.9
94,B-Series,Mazda,Aguiar da Beira,1657590882000,97.704,195.9
95,Crown Victoria,Ford,Krajan,1652176651000,15.031,147.8
96,Civic,Honda,Dajie,1656509702000,75.658,195.9
97,B-Series,Mazda,Nanto-shi,1667347332000,12.443,179.8
98,Monte Carlo,Chevrolet,Lũng Hồ,1641315898000,89.565,196.7
99,Beretta,Chevrolet,Nanjin,1651239623000,30.406,110.1
100,Tracker,Chevrolet,Gislaved,1666922261000,50.633,117.6
101,S-Series,Saturn,Bununu Kasa,1647459973000,2.163,163.9
102,Clubman,MINI,Xingpinglu,1656870041000,84.657,153.2
103,Escape,Ford,Yongchang,1649370841000,2.356,188.4
104,Sierra 1500,GMC,Jutiapa,1649287967000,44.669,118.8
105,Elise,Lotus,Kuivaniemi,1658339719000,85.566,144.6
106,GLC,Mazda,Samaro,1640235346000,89.734,152.8
107,Celica,Toyota,Hamamatsu,1643983304000,67.458,117.5
108,E-Class,Mercedes-Benz,Thị Trấn Quán Lào,1661551008000,24.499,187.2
109,G-Series 3500,Chevrolet,Zasip,1641252147000,39.254,158.1
110,F430,Ferrari,Jingu,1642048298000,8.84,169.5
111,Taurus,Ford,Xinwu,1649946513000,67.57,172.1
112,Special,Buick,Hejiang,1666448170000,93.52,128.4
113,LS,Lincoln,Sar-e Pul,1655144697000,87.764,148.0
114,Viper,Dodge,Karapyshi,1653777759000,93.365,139.2
115,DeVille,Cadillac,Muonio,1647704520000,48.051,194.2
116,F250,Ford,Luksuhin,1662887325000,99.237,129.4
